open_ts,symbol,open,high,low,close,delta,total_vol
2026-05-03T21:02:00+00:00,NQU1.CME@RITHMIC,15432.50,15433.25,15432.50,15433.00,11,129
2026-05-03T21:02:05+00:00,NQU1.CME@RITHMIC,15433.00,15433.50,15432.50,15432.75,-20,56
2026-05-03T21:02:10+00:00,NQU1.CME@RITHMIC,15418.75,15433.00,15418.75,15432.50,9,35
2026-05-03T21:02:15+00:00,NQU1.CME@RITHMIC,15431.50,15432.75,15431.50,15432.75,7,29
2026-05-03T21:02:20+00:00,NQU1.CME@RITHMIC,15433.00,15433.00,15432.25,15432.50,-5,25
2026-05-03T21:02:25+00:00,NQU1.CME@RITHMIC,15432.00,15432.75,15432.00,15432.50,0,18
2026-05-03T21:02:30+00:00,NQU1.CME@RITHMIC,15432.25,15432.50,15431.75,15432.00,30,58
2026-05-03T21:02:35+00:00,NQU1.CME@RITHMIC,15441.00,15441.00,15432.00,15432.50,-6,70
2026-05-03T21:02:40+00:00,NQU1.CME@RITHMIC,15432.50,15433.25,15432.50,15432.75,-23,75
2026-05-03T21:02:45+00:00,NQU1.CME@RITHMIC,15433.25,15433.25,15432.50,15432.50,-2,46
2026-05-03T21:02:50+00:00,NQU1.CME@RITHMIC,15458.50,15458.50,15432.25,15432.75,15,73
2026-05-03T21:02:55+00:00,NQU1.CME@RITHMIC,15433.00,15433.00,15432.75,15433.00,-1,41
2026-05-03T21:03:00+00:00,NQU1.CME@RITHMIC,15433.00,15433.25,15432.75,15433.25,-16,38
2026-05-03T21:03:05+00:00,NQU1.CME@RITHMIC,15433.00,15433.25,15432.50,15432.75,10,44
2026-05-03T21:03:10+00:00,NQU1.CME@RITHMIC,15435.50,15435.50,15432.50,15432.75,5,19
2026-05-03T21:03:15+00:00,NQU1.CME@RITHMIC,15432.75,15433.00,15432.50,15433.00,-9,27
2026-05-03T21:03:20+00:00,NQU1.CME@RITHMIC,15430.75,15433.00,15430.75,15433.00,14,32
2026-05-03T21:03:25+00:00,NQU1.CME@RITHMIC,15401.75,15433.00,15401.75,15432.75,-7,25
2026-05-03T21:03:30+00:00,NQU1.CME@RITHMIC,15432.75,15432.75,15432.50,15432.75,0,10
2026-05-03T21:03:35+00:00,NQU1.CME@RITHMIC,15433.00,15433.25,15432.75,15433.00,-1,51
2026-05-03T21:03:40+00:00,NQU1.CME@RITHMIC,15432.75,15433.75,15432.75,15433.00,-33,75
2026-05-03T21:03:45+00:00,NQU1.CME@RITHMIC,15433.25,15433.25,15432.50,15432.75,10,28
2026-05-03T21:03:50+00:00,NQU1.CME@RITHMIC,15432.50,15433.00,15432.50,15432.75,27,63
2026-05-03T21:03:55+00:00,NQU1.CME@RITHMIC,15433.50,15433.50,15432.50,15432.50,2,20
2026-05-03T21:04:00+00:00,NQU1.CME@RITHMIC,15432.75,15432.75,15431.25,15431.25,55,95
2026-05-03T21:04:05+00:00,NQU1.CME@RITHMIC,15431.25,15431.75,15431.25,15431.25,16,76
2026-05-03T21:04:10+00:00,NQU1.CME@RITHMIC,15431.25,15432.00,15430.75,15431.25,-9,99
2026-05-03T21:04:15+00:00,NQU1.CME@RITHMIC,15431.25,15431.25,15430.75,15431.25,7,41
